2026-05-18 22:18:33.963 | ERROR    | app.main:lifespan:93 | [Startup] ❌ 数据库初始化失败: 'gbk' codec can't encode character '\u2705' in position 11: illegal multibyte sequence
2026-05-24 13:42:16.779 | ERROR    | app.services.backup_service:sync_to_webdav:703 | WebDAV 同步异常 [backup_20260524_134214.backup]: All connection attempts failed
2026-05-25 20:15:51.636 | ERROR    | app.services.backup_service:sync_to_webdav:703 | WebDAV 同步异常 [backup_20260525_201549.backup]: All connection attempts failed
2026-05-25 21:01:48.695 | ERROR    | app.services.backup_service:sync_to_webdav:703 | WebDAV 同步异常 [backup_20260525_210146.backup]: All connection attempts failed
2026-05-25 21:32:59.150 | ERROR    | app.services.backup_service:sync_to_webdav:703 | WebDAV 同步异常 [backup_20260525_213256.backup]: All connection attempts failed
2026-05-25 22:17:50.933 | ERROR    | app.services.backup_service:sync_to_webdav:703 | WebDAV 同步异常 [backup_20260525_221748.backup]: All connection attempts failed
2026-05-26 08:33:43.959 | ERROR    | app.services.backup_service:sync_to_webdav:703 | WebDAV 同步异常 [backup_20260526_083341.backup]: All connection attempts failed
2026-05-26 08:46:39.889 | ERROR    | app.services.backup_service:sync_to_webdav:703 | WebDAV 同步异常 [backup_20260526_084637.backup]: All connection attempts failed
2026-05-26 09:12:26.665 | ERROR    | app.services.backup_service:sync_to_webdav:703 | WebDAV 同步异常 [backup_20260526_091224.backup]: All connection attempts failed
2026-05-26 10:44:30.159 | ERROR    | app.services.backup_service:sync_to_webdav:703 | WebDAV 同步异常 [backup_20260526_104427.backup]: All connection attempts failed
2026-05-26 10:53:27.282 | ERROR    | app.services.backup_service:sync_to_webdav:703 | WebDAV 同步异常 [backup_20260526_105325.backup]: All connection attempts failed
2026-05-26 10:59:16.316 | ERROR    | app.services.backup_service:sync_to_webdav:703 | WebDAV 同步异常 [backup_20260526_105914.backup]: All connection attempts failed
2026-05-26 13:36:05.834 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=16 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 13:37:07.637 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=16 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

